BX,BY,asp1
486.75,303.375,Dorsal_body
484.5,302.25,Dorsal_body
480.75,301.5,Dorsal_body
476.75,300.75,Dorsal_body
473.25,300,Dorsal_body
469.875,299.75,Dorsal_body
464.375,298.75,Dorsal_body
461.25,298,Dorsal_body
457.75,297.75,Dorsal_body
453.875,297,Dorsal_body
449,296.375,Dorsal_body
445.75,295.75,Dorsal_body
442.75,295.375,Dorsal_body
438.25,295,Dorsal_body
433.25,294.25,Dorsal_body
429.5,293.875,Dorsal_body
425.375,293,Dorsal_body
419,292.25,Dorsal_body
413.75,291.5,Dorsal_body
408.5,290.875,Dorsal_body
402.375,289.875,Dorsal_body
395.875,289.375,Dorsal_body
388.5,287.75,Dorsal_body
382.25,287,Dorsal_body
375.875,286.375,Dorsal_body
368.5,285.25,Dorsal_body
359.5,284.375,Dorsal_body
353.25,283.75,Dorsal_body
345.875,283,Dorsal_body
338.75,282.375,Dorsal_body
330.25,281.75,Dorsal_body
323.5,281,Dorsal_body
316.75,280.875,Dorsal_body
310.875,280.875,Dorsal_body
303.5,280.5,Dorsal_body
298,280.375,Dorsal_body
290.75,280.5,Dorsal_body
285.75,280.25,Dorsal_body
280,280.375,Dorsal_body
275.5,280.25,Dorsal_body
269.5,280.375,Dorsal_body
263,280.75,Dorsal_body
256.5,281,Dorsal_body
251.25,281.375,Dorsal_body
245.5,282,Dorsal_body
239,282.75,Dorsal_body
234.75,283.375,Dorsal_body
230,283.375,Dorsal_body
226.875,283.375,Dorsal_body
220.75,283,Dorsal_body
219.375,282.875,Dorsal_body
217.125,283.375,Dorsal_body
214.5,283.625,Dorsal_body
210.75,283.875,Dorsal_body
205.75,284.375,Dorsal_body
201.375,285,Dorsal_body
196.625,285.5,Dorsal_body
192.375,285.875,Dorsal_body
188.125,286.5,Dorsal_body
184.5,287,Dorsal_body
182.25,286.875,Dorsal_body
179.75,286.875,Dorsal_body
175.375,287.625,Dorsal_body
171.625,289,Dorsal_body
168,288.875,Dorsal_body
165.25,289,Dorsal_body
162.75,290,Dorsal_body
160.125,291.625,Dorsal_body
158.125,293.125,Dorsal_body
156.5,294,Dorsal_body
153.25,295,Dorsal_body
148.25,296.5,Dorsal_body
143.25,298.375,Dorsal_body
140.125,299.875,Dorsal_body
137.25,301.75,Dorsal_body
135,304.375,Dorsal_body
135.625,307.25,Dorsal_body
138.125,309.625,Dorsal_body
141.625,311.875,Dorsal_body
147.625,314.125,Dorsal_body
153.125,315.625,Dorsal_body
156.125,316.5,Dorsal_body
159.625,318.25,Dorsal_body
164.125,321.5,Dorsal_body
167.125,322.5,Dorsal_body
170.5,322,Dorsal_body
175.25,322.75,Dorsal_body
180.875,323.5,Dorsal_body
186,323.75,Dorsal_body
190.125,324.375,Dorsal_body
193.125,325,Dorsal_body
198.5,325,Dorsal_body
208.375,325.5,Dorsal_body
214.5,326,Dorsal_body
