BX,BY,asp1
320.875,301.375,Dorsal_bladder
313.125,298.125,Dorsal_bladder
306.625,296.25,Dorsal_bladder
298.875,294.125,Dorsal_bladder
286.5,291.25,Dorsal_bladder
283.25,291,Dorsal_bladder
279.75,290.125,Dorsal_bladder
276.875,289.75,Dorsal_bladder
272.625,289.625,Dorsal_bladder
268.125,289.125,Dorsal_bladder
264.125,289.125,Dorsal_bladder
260.625,289.25,Dorsal_bladder
256.125,289.625,Dorsal_bladder
248.625,290.5,Dorsal_bladder
242.125,291,Dorsal_bladder
235.375,292.25,Dorsal_bladder
233.25,292.75,Dorsal_bladder
227.75,294.375,Dorsal_bladder
224.875,295.5,Dorsal_bladder
221.125,297,Dorsal_bladder
219.5,298.5,Dorsal_bladder
222.25,301.5,Dorsal_bladder
226.25,304.375,Dorsal_bladder
231.125,305.375,Dorsal_bladder
236.25,306.125,Dorsal_bladder
238.625,306,Dorsal_bladder
240.125,305.875,Dorsal_bladder
242,305.875,Dorsal_bladder
245.375,305.75,Dorsal_bladder
249.625,304.75,Dorsal_bladder
252.125,304,Dorsal_bladder
254.25,303.75,Dorsal_bladder
255.625,303.25,Dorsal_bladder
258,303.625,Dorsal_bladder
259,303,Dorsal_bladder
260.625,303.375,Dorsal_bladder
263.125,303.375,Dorsal_bladder
264.25,303.125,Dorsal_bladder
266.125,303.5,Dorsal_bladder
267.375,303.375,Dorsal_bladder
268.875,303.5,Dorsal_bladder
271.75,303.75,Dorsal_bladder
274,303.75,Dorsal_bladder
277.875,303.875,Dorsal_bladder
282.25,304,Dorsal_bladder
285.625,303.5,Dorsal_bladder
288.375,303.25,Dorsal_bladder
292,304,Dorsal_bladder
295.875,302.75,Dorsal_bladder
299.5,302.875,Dorsal_bladder
303.75,302.5,Dorsal_bladder
309,302.75,Dorsal_bladder
313.375,302.75,Dorsal_bladder
317,302.875,Dorsal_bladder
320,302.625,Dorsal_bladder
411.625,306.75,Dorsal_body
405.125,304.75,Dorsal_body
398.875,302.75,Dorsal_body
391.875,301.25,Dorsal_body
383.875,300.25,Dorsal_body
375.375,299.25,Dorsal_body
368.875,298.5,Dorsal_body
358.875,296.75,Dorsal_body
350.625,295.25,Dorsal_body
342.125,293.75,Dorsal_body
335.125,291.5,Dorsal_body
322.125,289.5,Dorsal_body
311.875,287.5,Dorsal_body
298.125,284.75,Dorsal_body
290.625,283.5,Dorsal_body
279.625,282.25,Dorsal_body
271.625,281.75,Dorsal_body
263.375,280.75,Dorsal_body
253.875,280.75,Dorsal_body
244.125,281.5,Dorsal_body
232.625,281.5,Dorsal_body
222.625,283.25,Dorsal_body
215.375,284.75,Dorsal_body
210.625,285.125,Dorsal_body
205.75,285.625,Dorsal_body
203.25,285.875,Dorsal_body
199.625,286.25,Dorsal_body
198.25,285.75,Dorsal_body
195.75,285.625,Dorsal_body
193.375,285.5,Dorsal_body
191.25,286.25,Dorsal_body
189,287.25,Dorsal_body
188.125,288.625,Dorsal_body
187.25,289.375,Dorsal_body
186.375,289.625,Dorsal_body
183,290.5,Dorsal_body
179.25,291.375,Dorsal_body
178.375,291.375,Dorsal_body
175.375,291.75,Dorsal_body
171.125,294.25,Dorsal_body
168.25,296,Dorsal_body
165.125,299.5,Dorsal_body
163.875,301.75,Dorsal_body
164,303.125,Dorsal_body
167.25,307.375,Dorsal_body
169.625,309,Dorsal_body
173.375,310.25,Dorsal_body
177.25,311.125,Dorsal_body
181.75,311.75,Dorsal_body
188.125,312.75,Dorsal_body
190.5,314.125,Dorsal_body
193.625,315.5,Dorsal_body
195.875,315.625,Dorsal_body
199,315.25,Dorsal_body
201.5,314.375,Dorsal_body
207.125,314.25,Dorsal_body
214.875,314.625,Dorsal_body
221.375,314.875,Dorsal_body
227.25,315.375,Dorsal_body
233.375,315.875,Dorsal_body
240.5,315.75,Dorsal_body
246.5,315.625,Dorsal_body
252.5,315.375,Dorsal_body
256.625,315.25,Dorsal_body
261.5,314.375,Dorsal_body
267.625,313.75,Dorsal_body
275.625,313,Dorsal_body
283.125,312.75,Dorsal_body
294.25,312.75,Dorsal_body
303.75,312.625,Dorsal_body
312.625,313.125,Dorsal_body
323.875,313.125,Dorsal_body
331.125,313.375,Dorsal_body
340,313.125,Dorsal_body
347.125,313,Dorsal_body
353.75,313,Dorsal_body
361.625,312.625,Dorsal_body
369.125,312.125,Dorsal_body
376.25,311.75,Dorsal_body
383.625,310.875,Dorsal_body
390.25,310.125,Dorsal_body
397,309.75,Dorsal_body
403.75,309.125,Dorsal_body
409.625,308.625,Dorsal_body
411.5,307.75,Dorsal_body
321.25,303.125,Lateral_bladder
317.5,302.375,Lateral_bladder
313.5,301.875,Lateral_bladder
307.875,301.375,Lateral_bladder
302.125,301.25,Lateral_bladder
297.125,300.625,Lateral_bladder
293.875,300.625,Lateral_bladder
289.375,300.25,Lateral_bladder
285.5,300.375,Lateral_bladder
282.375,300.25,Lateral_bladder
277.25,300.125,Lateral_bladder
273.125,299.625,Lateral_bladder
268.25,299.5,Lateral_bladder
264.875,299.125,Lateral_bladder
260.375,299.125,Lateral_bladder
256.25,298.75,Lateral_bladder
252.625,298.75,Lateral_bladder
250,298.875,Lateral_bladder
246,299,Lateral_bladder
241.75,299,Lateral_bladder
235.375,298.875,Lateral_bladder
230.625,299,Lateral_bladder
227.5,299.375,Lateral_bladder
224.875,299.5,Lateral_bladder
222.25,300.125,Lateral_bladder
220,301.25,Lateral_bladder
218.875,302.375,Lateral_bladder
220.25,304.125,Lateral_bladder
223.875,305.375,Lateral_bladder
227.125,307.5,Lateral_bladder
230.625,309.125,Lateral_bladder
236,310.5,Lateral_bladder
240.875,311,Lateral_bladder
248.75,311.75,Lateral_bladder
253.75,312.625,Lateral_bladder
260.5,313.125,Lateral_bladder
262.5,312.625,Lateral_bladder
264.75,311.625,Lateral_bladder
266.375,310.875,Lateral_bladder
269.5,311.875,Lateral_bladder
272.5,313.375,Lateral_bladder
275.875,313.375,Lateral_bladder
282.125,312.625,Lateral_bladder
285.5,312.25,Lateral_bladder
287.375,311.75,Lateral_bladder
290.75,309.875,Lateral_bladder
294.25,309.375,Lateral_bladder
297.875,308.5,Lateral_bladder
300.875,307.875,Lateral_bladder
304.625,307,Lateral_bladder
307.75,306.125,Lateral_bladder
310.875,305.25,Lateral_bladder
314.875,304.75,Lateral_bladder
317.625,304,Lateral_bladder
320.375,304.125,Lateral_bladder
402.375,303.625,Lateral_body
400.875,301.25,Lateral_body
397,299.125,Lateral_body
394,297.875,Lateral_body
391,296.875,Lateral_body
388.125,296.625,Lateral_body
384.625,296.5,Lateral_body
381.625,296.25,Lateral_body
378.375,296,Lateral_body
375.125,295.625,Lateral_body
371.875,295.625,Lateral_body
368.875,295,Lateral_body
363,293.25,Lateral_body
357.875,291.375,Lateral_body
353.875,290,Lateral_body
348,288.125,Lateral_body
343.375,286.5,Lateral_body
339.125,285,Lateral_body
337.5,284.375,Lateral_body
335.5,283.75,Lateral_body
331.75,283.5,Lateral_body
329.125,283,Lateral_body
324.625,282.125,Lateral_body
319.75,280.875,Lateral_body
315.75,280.125,Lateral_body
311.375,279.125,Lateral_body
306.375,278.375,Lateral_body
303,277.625,Lateral_body
296.5,276.625,Lateral_body
291.125,275.625,Lateral_body
288.875,275.375,Lateral_body
283.625,274.5,Lateral_body
280.25,274.375,Lateral_body
276.125,273.5,Lateral_body
275.375,272.5,Lateral_body
274.25,272.375,Lateral_body
269.625,273,Lateral_body
264.125,273.125,Lateral_body
255.375,274.25,Lateral_body
248.875,274.375,Lateral_body
243.375,274.875,Lateral_body
240.625,274.75,Lateral_body
239.375,274.25,Lateral_body
237.75,274.375,Lateral_body
233.375,275.875,Lateral_body
228.5,277.625,Lateral_body
223.5,279.75,Lateral_body
222.125,280.25,Lateral_body
219.625,280.375,Lateral_body
218.75,280.375,Lateral_body
216.375,281.625,Lateral_body
210.125,284.125,Lateral_body
204.125,286.75,Lateral_body
197.375,289.125,Lateral_body
192.625,291.25,Lateral_body
188.5,292.875,Lateral_body
185.625,294.375,Lateral_body
182,295.875,Lateral_body
176.875,298,Lateral_body
172.875,299.625,Lateral_body
168.875,301.375,Lateral_body
167.75,302,Lateral_body
165.125,302.875,Lateral_body
162.125,304,Lateral_body
159.875,305.375,Lateral_body
158.5,306.75,Lateral_body
155.125,312.125,Lateral_body
154.125,314.625,Lateral_body
157.25,317.125,Lateral_body
161.625,319.375,Lateral_body
165,320.125,Lateral_body
171.375,321.5,Lateral_body
174.25,322.5,Lateral_body
177.375,322.625,Lateral_body
182.75,324.25,Lateral_body
186.25,324.625,Lateral_body
189.375,325.125,Lateral_body
192.75,325.875,Lateral_body
195.5,326.875,Lateral_body
200.875,327.125,Lateral_body
211,326.875,Lateral_body
221.375,326.625,Lateral_body
230,326.5,Lateral_body
231.25,326,Lateral_body
233,326.375,Lateral_body
241.75,326.125,Lateral_body
247.75,325.875,Lateral_body
258.125,325.75,Lateral_body
274.875,325.125,Lateral_body
283.125,323,Lateral_body
295,321.875,Lateral_body
307.75,320.125,Lateral_body
