BX,BY,asp1
318.75,308.125,Dorsal_bladder
316.25,306.5,Dorsal_bladder
310.375,303.75,Dorsal_bladder
307.25,302.125,Dorsal_bladder
303,300,Dorsal_bladder
300,298.625,Dorsal_bladder
295.25,297.25,Dorsal_bladder
290.75,296.25,Dorsal_bladder
285.5,294.75,Dorsal_bladder
282.75,294.5,Dorsal_bladder
279.5,293.75,Dorsal_bladder
276.625,293,Dorsal_bladder
273.5,292.75,Dorsal_bladder
269.75,292.25,Dorsal_bladder
265.5,292.25,Dorsal_bladder
263,292.25,Dorsal_bladder
260,291.75,Dorsal_bladder
257.875,291.875,Dorsal_bladder
252.75,293.25,Dorsal_bladder
247.75,295,Dorsal_bladder
245.875,295.75,Dorsal_bladder
245.25,296.625,Dorsal_bladder
243.75,295.5,Dorsal_bladder
241.875,294.875,Dorsal_bladder
238.625,293.25,Dorsal_bladder
237.125,292.5,Dorsal_bladder
235.5,291.5,Dorsal_bladder
233.375,290.375,Dorsal_bladder
231.875,289.375,Dorsal_bladder
230.375,289,Dorsal_bladder
228,288.25,Dorsal_bladder
226.25,288,Dorsal_bladder
224.25,287.5,Dorsal_bladder
221.75,287.625,Dorsal_bladder
219.375,287.75,Dorsal_bladder
217,288,Dorsal_bladder
214.875,288.375,Dorsal_bladder
212.875,289,Dorsal_bladder
210.5,289.625,Dorsal_bladder
208.875,290.25,Dorsal_bladder
206.75,290.75,Dorsal_bladder
204.75,291.5,Dorsal_bladder
203,292.375,Dorsal_bladder
200.125,293.875,Dorsal_bladder
198.625,294.5,Dorsal_bladder
196.75,295.25,Dorsal_bladder
195,295.75,Dorsal_bladder
192.625,296.375,Dorsal_bladder
190.5,296.875,Dorsal_bladder
187,297.5,Dorsal_bladder
184.625,298.125,Dorsal_bladder
183.25,298.875,Dorsal_bladder
182.125,300.625,Dorsal_bladder
179.625,302.875,Dorsal_bladder
179,304.75,Dorsal_bladder
179.75,308.625,Dorsal_bladder
