BX,BY,asp1
370.25,354.375,Dorsal_bladder
361.375,352.625,Dorsal_bladder
350.75,351,Dorsal_bladder
347.25,349.75,Dorsal_bladder
344.375,348.625,Dorsal_bladder
339.875,346.5,Dorsal_bladder
336.875,345.875,Dorsal_bladder
331.375,344.75,Dorsal_bladder
327.75,344.875,Dorsal_bladder
325.375,343.75,Dorsal_bladder
318.625,343,Dorsal_bladder
313.625,342.25,Dorsal_bladder
310,341.875,Dorsal_bladder
306.625,341.875,Dorsal_bladder
301.25,342,Dorsal_bladder
296.125,342,Dorsal_bladder
290.625,342.75,Dorsal_bladder
286.75,343.875,Dorsal_bladder
279.5,344.75,Dorsal_bladder
274.25,345,Dorsal_bladder
270.125,345.5,Dorsal_bladder
265.5,345.375,Dorsal_bladder
260.25,345.375,Dorsal_bladder
255.875,345.5,Dorsal_bladder
252.625,344.875,Dorsal_bladder
249.375,344.875,Dorsal_bladder
245.75,344.75,Dorsal_bladder
243.625,344.5,Dorsal_bladder
239.125,344.875,Dorsal_bladder
234.625,345.125,Dorsal_bladder
229,346.125,Dorsal_bladder
222.75,346.625,Dorsal_bladder
217.25,347.375,Dorsal_bladder
214.25,347.875,Dorsal_bladder
209.875,348.25,Dorsal_bladder
206.375,348.75,Dorsal_bladder
203.25,349.125,Dorsal_bladder
200.25,350.375,Dorsal_bladder
199.375,352.25,Dorsal_bladder
198,353.625,Dorsal_bladder
197.375,355.125,Dorsal_bladder
200.625,358.25,Dorsal_bladder
206.125,360.25,Dorsal_bladder
213.125,361.125,Dorsal_bladder
216.875,362.25,Dorsal_bladder
222,362.875,Dorsal_bladder
227.25,363.625,Dorsal_bladder
232.375,364.375,Dorsal_bladder
238.25,365.125,Dorsal_bladder
244.875,365.875,Dorsal_bladder
252.75,367,Dorsal_bladder
259.375,367.75,Dorsal_bladder
266.25,368.5,Dorsal_bladder
274.25,368.75,Dorsal_bladder
283.25,369.875,Dorsal_bladder
291.25,369.75,Dorsal_bladder
297.5,369.75,Dorsal_bladder
302.75,369.125,Dorsal_bladder
309,368.375,Dorsal_bladder
313.625,367.375,Dorsal_bladder
318.5,366.25,Dorsal_bladder
321.75,365,Dorsal_bladder
325.125,364,Dorsal_bladder
328.625,363.125,Dorsal_bladder
330.875,362.375,Dorsal_bladder
332.625,361.125,Dorsal_bladder
335.375,360.25,Dorsal_bladder
338.75,359.625,Dorsal_bladder
341.875,358.375,Dorsal_bladder
344.25,358.25,Dorsal_bladder
346.875,357.75,Dorsal_bladder
349,356,Dorsal_bladder
352.625,356,Dorsal_bladder
356,356.375,Dorsal_bladder
361.125,356.5,Dorsal_bladder
365.875,356.5,Dorsal_bladder
368.375,356,Dorsal_bladder
494.125,353.375,Dorsal_body
488,351.5,Dorsal_body
482.625,350.375,Dorsal_body
477,349.625,Dorsal_body
467.5,348.375,Dorsal_body
458.375,347.125,Dorsal_body
444.125,345.375,Dorsal_body
430.5,344,Dorsal_body
410.875,341.875,Dorsal_body
406.125,341.125,Dorsal_body
391.375,339,Dorsal_body
368.625,335,Dorsal_body
352,332,Dorsal_body
345.875,330.875,Dorsal_body
337.5,329.375,Dorsal_body
329,328.125,Dorsal_body
316.75,326.875,Dorsal_body
302.875,325.375,Dorsal_body
293.5,324.625,Dorsal_body
285.5,323.625,Dorsal_body
282.875,323.5,Dorsal_body
279.5,323.125,Dorsal_body
276.125,323,Dorsal_body
272.5,322.875,Dorsal_body
269,323,Dorsal_body
265.5,322.875,Dorsal_body
261.875,322.875,Dorsal_body
256.75,322.875,Dorsal_body
252.625,323,Dorsal_body
248,323.25,Dorsal_body
243.5,323.625,Dorsal_body
239.25,324,Dorsal_body
234.75,324.5,Dorsal_body
230.875,325.125,Dorsal_body
228,325.625,Dorsal_body
226.125,326.25,Dorsal_body
224,326.875,Dorsal_body
221,326,Dorsal_body
218.5,325.25,Dorsal_body
215.75,325.375,Dorsal_body
209.375,327.375,Dorsal_body
204,328.375,Dorsal_body
196.25,329.625,Dorsal_body
191.5,330.375,Dorsal_body
188,330.625,Dorsal_body
184,331,Dorsal_body
180.75,331.25,Dorsal_body
177,331.75,Dorsal_body
172.75,332.125,Dorsal_body
169.875,332.875,Dorsal_body
167.125,333.875,Dorsal_body
162.75,334.125,Dorsal_body
158.25,334.75,Dorsal_body
155.25,336,Dorsal_body
151.875,337,Dorsal_body
149.25,338,Dorsal_body
146.25,338.625,Dorsal_body
141.875,339.5,Dorsal_body
136.75,340.75,Dorsal_body
133.5,341.375,Dorsal_body
129.5,344.375,Dorsal_body
126.5,347.75,Dorsal_body
124.75,351,Dorsal_body
125,354.625,Dorsal_body
128.875,359.5,Dorsal_body
133.75,362.125,Dorsal_body
139,364.625,Dorsal_body
143.625,366.125,Dorsal_body
150.875,367.875,Dorsal_body
154.375,370.375,Dorsal_body
162.875,373,Dorsal_body
166.75,373.125,Dorsal_body
170.25,374.25,Dorsal_body
176.375,376.125,Dorsal_body
183.5,377.375,Dorsal_body
191.875,378.375,Dorsal_body
195.125,378.875,Dorsal_body
199.5,379.375,Dorsal_body
205.75,380.25,Dorsal_body
209.75,380.875,Dorsal_body
213.625,381.75,Dorsal_body
217.375,382.125,Dorsal_body
220.625,382,Dorsal_body
225.875,382.5,Dorsal_body
232.375,382.875,Dorsal_body
242.25,383.375,Dorsal_body
253.25,383.375,Dorsal_body
263.375,383.125,Dorsal_body
275.625,382.125,Dorsal_body
288.25,381.375,Dorsal_body
298.625,380.125,Dorsal_body
305.875,379.375,Dorsal_body
315.5,378.125,Dorsal_body
324.125,377.125,Dorsal_body
331.25,376.625,Dorsal_body
338.5,375.875,Dorsal_body
343.375,375.625,Dorsal_body
351.5,375.125,Dorsal_body
359,374.75,Dorsal_body
367.75,374.375,Dorsal_body
375.125,373.75,Dorsal_body
383.75,373.5,Dorsal_body
393.5,372.75,Dorsal_body
404.5,371.375,Dorsal_body
412.875,370.625,Dorsal_body
419.875,369.75,Dorsal_body
429.75,368.375,Dorsal_body
440.125,367.125,Dorsal_body
448.125,365.625,Dorsal_body
456.625,364.125,Dorsal_body
464.625,362,Dorsal_body
472.375,360,Dorsal_body
480.125,358.25,Dorsal_body
486.75,356.75,Dorsal_body
491.375,355.625,Dorsal_body
493.5,354.875,Dorsal_body
327.375,289.375,Lateral_bladder
324.75,289.25,Lateral_bladder
321.25,289,Lateral_bladder
319.625,288.875,Lateral_bladder
318.625,288.875,Lateral_bladder
317.375,288.375,Lateral_bladder
315.5,287.75,Lateral_bladder
314.625,287.75,Lateral_bladder
313.5,288.25,Lateral_bladder
311.125,288,Lateral_bladder
308.5,288,Lateral_bladder
307.125,287.875,Lateral_bladder
305.75,288,Lateral_bladder
302.125,288.25,Lateral_bladder
298.375,288.25,Lateral_bladder
293.125,288,Lateral_bladder
287.625,287.5,Lateral_bladder
285,287.25,Lateral_bladder
279.125,286.75,Lateral_bladder
276.375,286.25,Lateral_bladder
272.625,285.625,Lateral_bladder
268.25,284.75,Lateral_bladder
263.875,284.125,Lateral_bladder
259.75,283.625,Lateral_bladder
256.5,282.875,Lateral_bladder
254.375,282.625,Lateral_bladder
251,282.125,Lateral_bladder
248.625,281.875,Lateral_bladder
245.125,281.5,Lateral_bladder
242.875,281.25,Lateral_bladder
240.5,280.75,Lateral_bladder
237.125,280.625,Lateral_bladder
234.25,280.25,Lateral_bladder
230,280.25,Lateral_bladder
227.125,279.75,Lateral_bladder
223.125,279.375,Lateral_bladder
219.875,279.125,Lateral_bladder
216.875,278.875,Lateral_bladder
213.75,278.875,Lateral_bladder
211.5,278.625,Lateral_bladder
208.375,278.375,Lateral_bladder
206.5,278.25,Lateral_bladder
204.5,278.125,Lateral_bladder
203,278.125,Lateral_bladder
201,278.125,Lateral_bladder
198.375,278.125,Lateral_bladder
195.875,278.25,Lateral_bladder
192.875,278.25,Lateral_bladder
190.5,278.5,Lateral_bladder
188.625,278.5,Lateral_bladder
186,278.875,Lateral_bladder
184.75,278.875,Lateral_bladder
182.625,279.25,Lateral_bladder
180.25,279.625,Lateral_bladder
178.625,280.25,Lateral_bladder
176.875,281,Lateral_bladder
175.75,282.125,Lateral_bladder
175.75,283.125,Lateral_bladder
177,284.25,Lateral_bladder
178.875,285,Lateral_bladder
181.5,285.5,Lateral_bladder
184,286,Lateral_bladder
187.25,286.5,Lateral_bladder
190.125,286.875,Lateral_bladder
193.25,287.125,Lateral_bladder
195.625,288,Lateral_bladder
199.25,288.5,Lateral_bladder
202.625,289.375,Lateral_bladder
205.875,290.25,Lateral_bladder
209.375,291.375,Lateral_bladder
211.625,292.125,Lateral_bladder
214.75,293.125,Lateral_bladder
217.375,294,Lateral_bladder
221.75,295,Lateral_bladder
227.375,296.125,Lateral_bladder
231.25,296.625,Lateral_bladder
235.625,297.125,Lateral_bladder
241.375,298.75,Lateral_bladder
246.375,301,Lateral_bladder
251.125,302.875,Lateral_bladder
256.125,304.5,Lateral_bladder
260.875,306.375,Lateral_bladder
266,307.625,Lateral_bladder
271.625,308.375,Lateral_bladder
276.75,308.375,Lateral_bladder
282.5,307.75,Lateral_bladder
287.625,306.875,Lateral_bladder
292.625,305.875,Lateral_bladder
296.375,305,Lateral_bladder
299.625,304,Lateral_bladder
302.5,302.75,Lateral_bladder
305.375,301,Lateral_bladder
307.125,299.5,Lateral_bladder
308.375,297.75,Lateral_bladder
309,296.125,Lateral_bladder
311.25,295.625,Lateral_bladder
314.25,295.125,Lateral_bladder
315.625,294.625,Lateral_bladder
317.125,293.75,Lateral_bladder
319.125,293.375,Lateral_bladder
321.25,293.75,Lateral_bladder
322.625,292.75,Lateral_bladder
324.75,291.75,Lateral_bladder
326.75,291.125,Lateral_bladder
451.75,280.125,Lateral_body
448.25,276.5,Lateral_body
442.375,273.75,Lateral_body
438.875,272.25,Lateral_body
435.75,271.125,Lateral_body
429.75,270.625,Lateral_body
423.375,271.25,Lateral_body
417.75,272.625,Lateral_body
415.25,273.125,Lateral_body
413.25,272.25,Lateral_body
409.625,271.75,Lateral_body
406.625,271.625,Lateral_body
403.625,271.5,Lateral_body
