BX,BY,asp1
328.5,310,Dorsal_bladder
325.125,308.625,Dorsal_bladder
318.25,306.5,Dorsal_bladder
313.25,305.5,Dorsal_bladder
303.5,303.375,Dorsal_bladder
300.375,302.25,Dorsal_bladder
297.5,301.625,Dorsal_bladder
294.125,301,Dorsal_bladder
291.25,300.5,Dorsal_bladder
287.125,300.375,Dorsal_bladder
284.25,300.375,Dorsal_bladder
278.5,300.375,Dorsal_bladder
276.75,300.375,Dorsal_bladder
273.375,299.5,Dorsal_bladder
269.875,299,Dorsal_bladder
267,298.5,Dorsal_bladder
263.25,298,Dorsal_bladder
259.375,297,Dorsal_bladder
256.625,297,Dorsal_bladder
251.875,296.5,Dorsal_bladder
247.625,296.5,Dorsal_bladder
245,296.5,Dorsal_bladder
241.625,296.25,Dorsal_bladder
238.125,296.25,Dorsal_bladder
236,296,Dorsal_bladder
232.625,295.625,Dorsal_bladder
228.5,295.5,Dorsal_bladder
224,295.5,Dorsal_bladder
218.875,295.5,Dorsal_bladder
212.875,294.75,Dorsal_bladder
210.25,295,Dorsal_bladder
207.75,295.25,Dorsal_bladder
204.625,295.25,Dorsal_bladder
199.25,295,Dorsal_bladder
196,294.75,Dorsal_bladder
193.5,294.625,Dorsal_bladder
189.25,294.125,Dorsal_bladder
186.625,294.25,Dorsal_bladder
182.5,294.25,Dorsal_bladder
180.75,294.25,Dorsal_bladder
178.75,294.375,Dorsal_bladder
176.25,294.75,Dorsal_bladder
172.5,294.25,Dorsal_bladder
169,294.875,Dorsal_bladder
165.375,295.5,Dorsal_bladder
161.875,295.875,Dorsal_bladder
158.75,295.75,Dorsal_bladder
154,296,Dorsal_bladder
152.5,296.375,Dorsal_bladder
149.375,296.625,Dorsal_bladder
147.25,296.5,Dorsal_bladder
143.25,296.625,Dorsal_bladder
140.25,296.375,Dorsal_bladder
136.5,297,Dorsal_bladder
134.625,296.625,Dorsal_bladder
132.625,297.25,Dorsal_bladder
129,297.5,Dorsal_bladder
126.5,297,Dorsal_bladder
125,296.75,Dorsal_bladder
123.25,299.375,Dorsal_bladder
122.125,302.75,Dorsal_bladder
121,305.875,Dorsal_bladder
120.5,308.375,Dorsal_bladder
120.625,310.5,Dorsal_bladder
122.75,314.25,Dorsal_bladder
123.5,315.375,Dorsal_bladder
124.5,317.625,Dorsal_bladder
125,318.75,Dorsal_bladder
127,318.875,Dorsal_bladder
129.75,317.375,Dorsal_bladder
131,317.25,Dorsal_bladder
133.625,318.125,Dorsal_bladder
136.75,318.625,Dorsal_bladder
138.25,317.875,Dorsal_bladder
140.875,318.75,Dorsal_bladder
141,318.375,Dorsal_bladder
144.25,318.625,Dorsal_bladder
148.5,319.125,Dorsal_bladder
152,319.5,Dorsal_bladder
157.5,319.125,Dorsal_bladder
158.25,319.125,Dorsal_bladder
160,320.375,Dorsal_bladder
163.5,321.125,Dorsal_bladder
169.625,321.75,Dorsal_bladder
174.875,321.625,Dorsal_bladder
180.375,321.875,Dorsal_bladder
184,321.125,Dorsal_bladder
185.5,320.125,Dorsal_bladder
187.125,321.625,Dorsal_bladder
188.5,322.375,Dorsal_bladder
191.75,323.125,Dorsal_bladder
195.75,323.375,Dorsal_bladder
198.5,323.625,Dorsal_bladder
202,323.625,Dorsal_bladder
205.125,324.125,Dorsal_bladder
207.25,323.625,Dorsal_bladder
209,324.125,Dorsal_bladder
212.25,324.625,Dorsal_bladder
216.25,325.25,Dorsal_bladder
220,325.875,Dorsal_bladder
223.375,325.875,Dorsal_bladder
226.25,326,Dorsal_bladder
229.5,326.875,Dorsal_bladder
233,327.125,Dorsal_bladder
235.5,327.125,Dorsal_bladder
238.5,327.75,Dorsal_bladder
241.625,327.875,Dorsal_bladder
245,328,Dorsal_bladder
247.125,328,Dorsal_bladder
249.75,327.875,Dorsal_bladder
253,327.875,Dorsal_bladder
256.375,327.875,Dorsal_bladder
259.5,327.25,Dorsal_bladder
264,326.875,Dorsal_bladder
267.5,326.125,Dorsal_bladder
269.625,325.625,Dorsal_bladder
272.25,324.625,Dorsal_bladder
276.5,324.375,Dorsal_bladder
279.625,323.875,Dorsal_bladder
281.625,323,Dorsal_bladder
285.375,322,Dorsal_bladder
287.375,321.125,Dorsal_bladder
288.625,320,Dorsal_bladder
291.625,319.875,Dorsal_bladder
296,319.375,Dorsal_bladder
298.75,318.625,Dorsal_bladder
301,318.125,Dorsal_bladder
304.75,317.625,Dorsal_bladder
308.375,315.875,Dorsal_bladder
310.125,314.125,Dorsal_bladder
313,313.75,Dorsal_bladder
315.875,313.75,Dorsal_bladder
318.75,313.375,Dorsal_bladder
322.75,312.875,Dorsal_bladder
325.875,311.875,Dorsal_bladder
327.125,311.125,Dorsal_bladder
508.5,306.375,Dorsal_body
506.625,304.125,Dorsal_body
503.625,303.625,Dorsal_body
501,303.375,Dorsal_body
495.125,302.875,Dorsal_body
492.5,302.5,Dorsal_body
489.375,302.375,Dorsal_body
484.5,301.625,Dorsal_body
479.375,301.125,Dorsal_body
475.625,300.125,Dorsal_body
471,300.125,Dorsal_body
466.375,299,Dorsal_body
462.875,298.875,Dorsal_body
458.5,297.875,Dorsal_body
454.5,297.5,Dorsal_body
451.125,296.875,Dorsal_body
447.125,296.5,Dorsal_body
440.875,295.875,Dorsal_body
436.875,295.125,Dorsal_body
431.375,294.875,Dorsal_body
428.5,293.875,Dorsal_body
425,293.625,Dorsal_body
420.375,293.375,Dorsal_body
416.875,292.625,Dorsal_body
409.375,291.875,Dorsal_body
403.875,291.625,Dorsal_body
398.5,290.875,Dorsal_body
391.875,290,Dorsal_body
381.5,288.875,Dorsal_body
375.125,288.375,Dorsal_body
367.875,287.875,Dorsal_body
362.125,287,Dorsal_body
355.625,286.375,Dorsal_body
349.5,285.875,Dorsal_body
342.875,285.125,Dorsal_body
335.5,284.375,Dorsal_body
327.875,283.625,Dorsal_body
322,283.125,Dorsal_body
315.375,282.5,Dorsal_body
309.875,281.875,Dorsal_body
305.5,281.125,Dorsal_body
301.125,280.5,Dorsal_body
296.75,280.375,Dorsal_body
292,279.625,Dorsal_body
285,278.5,Dorsal_body
277.75,277.125,Dorsal_body
273.5,276.375,Dorsal_body
267.625,275,Dorsal_body
261,273.625,Dorsal_body
254.625,272.625,Dorsal_body
247.625,271.375,Dorsal_body
242.125,270.625,Dorsal_body
233.625,269.5,Dorsal_body
225.75,269,Dorsal_body
217.75,268.125,Dorsal_body
212.25,267.875,Dorsal_body
206.125,267.875,Dorsal_body
200.5,267.875,Dorsal_body
194.625,267.625,Dorsal_body
188,267.875,Dorsal_body
181.5,268.125,Dorsal_body
176.625,268.625,Dorsal_body
169.25,269.5,Dorsal_body
163.5,270,Dorsal_body
156.5,270.625,Dorsal_body
151.125,271.125,Dorsal_body
143.25,271.375,Dorsal_body
140.125,271.5,Dorsal_body
135.75,271.875,Dorsal_body
132.625,271.875,Dorsal_body
129.75,271.875,Dorsal_body
126.5,272.375,Dorsal_body
123.125,273.125,Dorsal_body
118.625,274,Dorsal_body
112,275,Dorsal_body
107.125,276.125,Dorsal_body
102.625,277,Dorsal_body
97,278.5,Dorsal_body
94,278.75,Dorsal_body
89.5,279.5,Dorsal_body
83.125,280.25,Dorsal_body
80.125,281.75,Dorsal_body
75.625,282.625,Dorsal_body
71.5,282.75,Dorsal_body
68,282.75,Dorsal_body
64.75,282.75,Dorsal_body
61.75,284.125,Dorsal_body
57.125,287.5,Dorsal_body
56.25,289.625,Dorsal_body
53.625,291,Dorsal_body
47.5,292.25,Dorsal_body
41.625,293.625,Dorsal_body
37,295.75,Dorsal_body
32,299.5,Dorsal_body
29,306.625,Dorsal_body
27.125,310.25,Dorsal_body
28.5,315.75,Dorsal_body
31.5,319.125,Dorsal_body
37.5,323.625,Dorsal_body
42.125,325.75,Dorsal_body
49.125,327.75,Dorsal_body
55.125,329.5,Dorsal_body
59.25,331.75,Dorsal_body
64.75,336.125,Dorsal_body
70,337.625,Dorsal_body
74,336.75,Dorsal_body
76.25,336,Dorsal_body
82.125,337.125,Dorsal_body
89.625,338.625,Dorsal_body
95.25,339.125,Dorsal_body
100.5,339.75,Dorsal_body
105.25,340.625,Dorsal_body
112.75,341.25,Dorsal_body
120.5,343,Dorsal_body
128.125,343.25,Dorsal_body
133.5,344.125,Dorsal_body
140.25,345,Dorsal_body
145.625,345,Dorsal_body
152.5,344.75,Dorsal_body
159.125,345.25,Dorsal_body
166.75,345.75,Dorsal_body
177.5,346.75,Dorsal_body
188.5,347.125,Dorsal_body
197.5,347.25,Dorsal_body
207.25,347.25,Dorsal_body
215.75,347.125,Dorsal_body
224.625,346.5,Dorsal_body
234.625,346,Dorsal_body
245,345.25,Dorsal_body
258.25,343.75,Dorsal_body
267.5,342.625,Dorsal_body
276,342,Dorsal_body
285,340.625,Dorsal_body
295.625,338.5,Dorsal_body
303.75,337.25,Dorsal_body
314.625,336.25,Dorsal_body
327.75,334.75,Dorsal_body
340.625,333.5,Dorsal_body
353,332.25,Dorsal_body
366.75,330.5,Dorsal_body
379.625,329.25,Dorsal_body
389,328,Dorsal_body
398,327,Dorsal_body
407.75,326,Dorsal_body
414.25,324.375,Dorsal_body
423.125,323.875,Dorsal_body
429,322.875,Dorsal_body
436,322.375,Dorsal_body
442.25,321.75,Dorsal_body
449.25,320.25,Dorsal_body
454.625,320.25,Dorsal_body
460.5,319.25,Dorsal_body
466.125,317.875,Dorsal_body
471.125,316.5,Dorsal_body
475.75,316.75,Dorsal_body
480.5,315.875,Dorsal_body
485.375,314.375,Dorsal_body
490.125,313,Dorsal_body
493.625,311.5,Dorsal_body
496.125,310.625,Dorsal_body
500,309.5,Dorsal_body
504,308.125,Dorsal_body
506.5,308,Dorsal_body
367.375,309,Lateral_bladder
365.375,307.5,Lateral_bladder
364.125,306.25,Lateral_bladder
362.875,305.875,Lateral_bladder
361.75,305.5,Lateral_bladder
360.125,305.625,Lateral_bladder
358.625,305.75,Lateral_bladder
357.375,305,Lateral_bladder
354.75,304.125,Lateral_bladder
352,303.5,Lateral_bladder
349.25,302.875,Lateral_bladder
348,302.875,Lateral_bladder
345.25,302.25,Lateral_bladder
342.625,301.375,Lateral_bladder
339.625,300.875,Lateral_bladder
338.125,300.5,Lateral_bladder
335.75,299.75,Lateral_bladder
334.25,298.875,Lateral_bladder
332,298.5,Lateral_bladder
330.125,298.25,Lateral_bladder
328.375,297.625,Lateral_bladder
325.625,296.5,Lateral_bladder
323.375,296.125,Lateral_bladder
319.875,295.625,Lateral_bladder
318.375,295.125,Lateral_bladder
316.25,294.75,Lateral_bladder
313,294.25,Lateral_bladder
310.125,293.875,Lateral_bladder
307.75,293.25,Lateral_bladder
304.75,292.625,Lateral_bladder
302,291.875,Lateral_bladder
299.5,291.25,Lateral_bladder
297.375,290.625,Lateral_bladder
295.25,289.875,Lateral_bladder
292.875,289.25,Lateral_bladder
289.75,288.125,Lateral_bladder
287.375,287.5,Lateral_bladder
284,286.5,Lateral_bladder
281.125,286,Lateral_bladder
279.5,285.625,Lateral_bladder
277.875,285.25,Lateral_bladder
274.5,284.625,Lateral_bladder
272.375,284.25,Lateral_bladder
269.75,284.125,Lateral_bladder
266.5,283.5,Lateral_bladder
264.125,283.25,Lateral_bladder
261.375,283,Lateral_bladder
259,282.75,Lateral_bladder
255.875,282.375,Lateral_bladder
253.375,282.25,Lateral_bladder
249.25,281.5,Lateral_bladder
246.5,281.25,Lateral_bladder
244.375,280.625,Lateral_bladder
242,280.375,Lateral_bladder
237.625,280.25,Lateral_bladder
235.125,280.125,Lateral_bladder
230.875,280.125,Lateral_bladder
228,280.25,Lateral_bladder
224.625,280.125,Lateral_bladder
220.25,279.875,Lateral_bladder
216.625,279.875,Lateral_bladder
213.5,279.875,Lateral_bladder
209.5,280,Lateral_bladder
205.5,280.25,Lateral_bladder
203.25,280.375,Lateral_bladder
201.625,280.375,Lateral_bladder
199.375,280.25,Lateral_bladder
197.25,280.375,Lateral_bladder
194.375,280.625,Lateral_bladder
190.5,280.875,Lateral_bladder
187.125,281.25,Lateral_bladder
184,281.625,Lateral_bladder
181.125,282.125,Lateral_bladder
175.25,283,Lateral_bladder
172.25,284.125,Lateral_bladder
168,285,Lateral_bladder
164.625,285.625,Lateral_bladder
161.75,286.375,Lateral_bladder
159.375,287.125,Lateral_bladder
158.375,288.125,Lateral_bladder
160.5,289.625,Lateral_bladder
163.25,290.5,Lateral_bladder
165.375,291.25,Lateral_bladder
168.5,292.125,Lateral_bladder
171.5,292.875,Lateral_bladder
174,294.125,Lateral_bladder
176.125,295.375,Lateral_bladder
179.125,296.375,Lateral_bladder
182.25,296.75,Lateral_bladder
185.5,297.5,Lateral_bladder
188.25,297.625,Lateral_bladder
191.625,297.875,Lateral_bladder
194.875,298,Lateral_bladder
199.25,298.125,Lateral_bladder
202,298.75,Lateral_bladder
205.125,299.25,Lateral_bladder
208.625,299.625,Lateral_bladder
212.375,300.25,Lateral_bladder
216.625,301,Lateral_bladder
220.25,301.375,Lateral_bladder
225.75,302.25,Lateral_bladder
231.125,302.375,Lateral_bladder
234.5,303.125,Lateral_bladder
238,304,Lateral_bladder
240.5,304.875,Lateral_bladder
242.625,305.5,Lateral_bladder
245,306.5,Lateral_bladder
246.875,306.625,Lateral_bladder
249,306.625,Lateral_bladder
251.625,307,Lateral_bladder
254.375,307.125,Lateral_bladder
257.75,308,Lateral_bladder
261.5,308.375,Lateral_bladder
265.125,309,Lateral_bladder
268.75,309.25,Lateral_bladder
272.5,309.875,Lateral_bladder
274.875,310.5,Lateral_bladder
278.25,310.75,Lateral_bladder
280.625,311.125,Lateral_bladder
284,311.875,Lateral_bladder
286.75,312,Lateral_bladder
291,312.5,Lateral_bladder
294.75,312.75,Lateral_bladder
297.75,312.875,Lateral_bladder
299.5,312.75,Lateral_bladder
301,312.375,Lateral_bladder
303.75,312.625,Lateral_bladder
306.25,313.5,Lateral_bladder
308.625,314.125,Lateral_bladder
310.625,314,Lateral_bladder
314,313.875,Lateral_bladder
316.5,313.875,Lateral_bladder
317.75,313.75,Lateral_bladder
320.125,313.875,Lateral_bladder
322,313.375,Lateral_bladder
323.375,313,Lateral_bladder
325.5,312.375,Lateral_bladder
327.75,312,Lateral_bladder
329.875,312,Lateral_bladder
331.75,311.625,Lateral_bladder
333.625,311.25,Lateral_bladder
334.25,310.75,Lateral_bladder
336.5,311,Lateral_bladder
338.125,311.875,Lateral_bladder
341,311.75,Lateral_bladder
342.125,311.625,Lateral_bladder
343.5,312,Lateral_bladder
346.25,312.5,Lateral_bladder
348.125,312.5,Lateral_bladder
349.75,312,Lateral_bladder
352.125,311.375,Lateral_bladder
353.75,310.75,Lateral_bladder
355.25,310.75,Lateral_bladder
356.875,311.125,Lateral_bladder
358.25,311.5,Lateral_bladder
359.25,311.25,Lateral_bladder
359.375,310.75,Lateral_bladder
361,310.5,Lateral_bladder
362.875,310.375,Lateral_bladder
363.375,310.125,Lateral_bladder
365.125,309.875,Lateral_bladder
366.75,309.875,Lateral_bladder
526.125,318.75,Lateral_body
523.625,315.625,Lateral_body
521.75,313.375,Lateral_body
518.5,311.125,Lateral_body
513.875,308.625,Lateral_body
510.25,307.375,Lateral_body
506.375,306.125,Lateral_body
503.375,305.125,Lateral_body
497.5,304.5,Lateral_body
493.125,304.625,Lateral_body
487.875,304.875,Lateral_body
482.75,304.25,Lateral_body
479.875,303.25,Lateral_body
474.75,302.125,Lateral_body
469.375,300.5,Lateral_body
464.5,298.75,Lateral_body
459.5,296.875,Lateral_body
454,294.875,Lateral_body
450.75,293.875,Lateral_body
446.5,292.375,Lateral_body
444.25,290.75,Lateral_body
441.125,289.25,Lateral_body
437.375,287.625,Lateral_body
434.375,286.25,Lateral_body
431.25,284.75,Lateral_body
426.5,283.25,Lateral_body
423.125,281.75,Lateral_body
420.125,280.25,Lateral_body
417.375,279.25,Lateral_body
413.25,278,Lateral_body
410.625,276.625,Lateral_body
409.625,275,Lateral_body
407.625,274,Lateral_body
401.25,272.375,Lateral_body
397.5,271.375,Lateral_body
391.5,269.125,Lateral_body
383.875,266.625,Lateral_body
379.875,266.125,Lateral_body
374.25,264,Lateral_body
369.625,262.75,Lateral_body
364.125,260.5,Lateral_body
359.125,258.875,Lateral_body
353.5,257.25,Lateral_body
348.25,255.875,Lateral_body
342.875,253.875,Lateral_body
337.25,252.875,Lateral_body
332.375,250.75,Lateral_body
325.75,249.75,Lateral_body
321.625,248.5,Lateral_body
317.25,247.25,Lateral_body
309.625,245.75,Lateral_body
302.75,244.375,Lateral_body
297.5,243.25,Lateral_body
292.5,242.75,Lateral_body
286.25,241.625,Lateral_body
282.375,241.125,Lateral_body
277.75,239.875,Lateral_body
274.75,238.125,Lateral_body
272.125,236.625,Lateral_body
264.75,236.875,Lateral_body
256,236.875,Lateral_body
250.125,236.875,Lateral_body
245.375,236.5,Lateral_body
241.25,237.5,Lateral_body
236.125,237.75,Lateral_body
231.75,237.625,Lateral_body
225,237.5,Lateral_body
219.25,237.875,Lateral_body
213.625,238,Lateral_body
209.75,238.25,Lateral_body
206,238.25,Lateral_body
202.125,238.25,Lateral_body
200.125,237.875,Lateral_body
196.125,238.375,Lateral_body
190.25,239.375,Lateral_body
186.625,240.375,Lateral_body
182.875,241.25,Lateral_body
176.5,242.75,Lateral_body
172.625,243.5,Lateral_body
167.75,245.25,Lateral_body
165.25,245.75,Lateral_body
160,247,Lateral_body
155.125,248.125,Lateral_body
148.75,251,Lateral_body
144.125,252.375,Lateral_body
139.625,254.25,Lateral_body
135,256.5,Lateral_body
130.375,258.5,Lateral_body
125.375,260.375,Lateral_body
120.25,262.75,Lateral_body
116.5,265.125,Lateral_body
113,266.75,Lateral_body
108.375,269,Lateral_body
103.75,271.75,Lateral_body
100,273.875,Lateral_body
94.625,277,Lateral_body
91,279.125,Lateral_body
86.125,281.625,Lateral_body
82.375,283.5,Lateral_body
79.5,285.25,Lateral_body
73.25,288.125,Lateral_body
69.625,290.25,Lateral_body
63.875,293.25,Lateral_body
60.375,296.125,Lateral_body
57,298.125,Lateral_body
52.125,301,Lateral_body
48.625,302.75,Lateral_body
46,304,Lateral_body
43.125,306.125,Lateral_body
41.375,308.375,Lateral_body
38.75,324.375,Lateral_body
39.5,328.25,Lateral_body
44,332.875,Lateral_body
50.625,334.5,Lateral_body
59,337.125,Lateral_body
66.375,337,Lateral_body
73.125,337.25,Lateral_body
78.625,336.875,Lateral_body
84.25,336.5,Lateral_body
93.25,337.375,Lateral_body
99.125,338,Lateral_body
103.75,338.75,Lateral_body
109,340,Lateral_body
113.375,340,Lateral_body
118,340.375,Lateral_body
122.5,340.375,Lateral_body
127.375,340,Lateral_body
132.375,340.625,Lateral_body
136.625,341.75,Lateral_body
139.75,342.75,Lateral_body
145.125,343.375,Lateral_body
151.625,343.75,Lateral_body
158.875,343.75,Lateral_body
165,344,Lateral_body
171.625,343.875,Lateral_body
178.875,343.875,Lateral_body
189.75,343.5,Lateral_body
196.375,343.75,Lateral_body
202.625,343.75,Lateral_body
208,343.625,Lateral_body
213.75,343.625,Lateral_body
219,343.625,Lateral_body
224.375,343.75,Lateral_body
231,343,Lateral_body
236.75,343,Lateral_body
239.75,342.75,Lateral_body
244.625,342.25,Lateral_body
248.375,342.125,Lateral_body
251.5,341.25,Lateral_body
254.375,341,Lateral_body
260.375,340.125,Lateral_body
264.25,339.375,Lateral_body
266.375,338.875,Lateral_body
271,338.625,Lateral_body
274.625,337.625,Lateral_body
278.125,336.625,Lateral_body
281.875,336.75,Lateral_body
286.25,336.75,Lateral_body
290.875,336.375,Lateral_body
294.375,335.875,Lateral_body
298.875,335.5,Lateral_body
304.25,335.375,Lateral_body
308.875,335.25,Lateral_body
313,335.25,Lateral_body
316.375,335.5,Lateral_body
320.625,335.5,Lateral_body
325.5,335.75,Lateral_body
328.75,335.625,Lateral_body
331.875,335.375,Lateral_body
336.5,335.625,Lateral_body
341.5,335.625,Lateral_body
345.125,335.5,Lateral_body
347.625,335.75,Lateral_body
351.875,335.75,Lateral_body
355.625,335.875,Lateral_body
359.625,335.875,Lateral_body
364.875,335.5,Lateral_body
368.625,335.5,Lateral_body
372.625,335.125,Lateral_body
379,335.125,Lateral_body
383.5,335.375,Lateral_body
389.25,335.375,Lateral_body
394.625,335,Lateral_body
399.75,334.5,Lateral_body
405.75,333.375,Lateral_body
411.375,333,Lateral_body
416.75,332.875,Lateral_body
423.375,333,Lateral_body
428.125,332.25,Lateral_body
435.25,331.875,Lateral_body
441.875,332.25,Lateral_body
446.125,331.375,Lateral_body
450.625,331.375,Lateral_body
455,331,Lateral_body
458.875,330.5,Lateral_body
463.375,329.875,Lateral_body
467.25,329.5,Lateral_body
471.375,329.125,Lateral_body
476.5,329.375,Lateral_body
482.375,329.625,Lateral_body
485.5,329.5,Lateral_body
489.375,329.125,Lateral_body
493.625,329.25,Lateral_body
499.5,329.25,Lateral_body
507.5,329.75,Lateral_body
511.375,328.75,Lateral_body
514.5,327.625,Lateral_body
519.375,326.375,Lateral_body
522.25,325.125,Lateral_body
524.75,322.625,Lateral_body
526.125,320.625,Lateral_body
