BX,BY,asp1
349.875,320.25,Dorsal_bladder
344.25,318.25,Dorsal_bladder
337.5,318.375,Dorsal_bladder
331.75,317.875,Dorsal_bladder
327.25,317.125,Dorsal_bladder
322,316.25,Dorsal_bladder
320.75,315.625,Dorsal_bladder
317.875,316.375,Dorsal_bladder
316.25,315.25,Dorsal_bladder
312.375,314.625,Dorsal_bladder
310,314.75,Dorsal_bladder
308.75,315.375,Dorsal_bladder
306,314.875,Dorsal_bladder
303.75,314.125,Dorsal_bladder
301,314.125,Dorsal_bladder
298.75,313.75,Dorsal_bladder
294,313.375,Dorsal_bladder
292.25,313.375,Dorsal_bladder
286.875,312.875,Dorsal_bladder
285,312.75,Dorsal_bladder
278.875,312.75,Dorsal_bladder
275.25,312.75,Dorsal_bladder
271,312.875,Dorsal_bladder
266.75,312.875,Dorsal_bladder
263.25,312.875,Dorsal_bladder
258.375,312.875,Dorsal_bladder
252.75,312.625,Dorsal_bladder
250.5,312.625,Dorsal_bladder
245.375,312.375,Dorsal_bladder
242.5,312.375,Dorsal_bladder
237.875,311.875,Dorsal_bladder
235,311.75,Dorsal_bladder
229.875,311.25,Dorsal_bladder
226.875,310.875,Dorsal_bladder
220.875,309.75,Dorsal_bladder
216.375,309.25,Dorsal_bladder
211.75,308.375,Dorsal_bladder
206.75,308.375,Dorsal_bladder
203,307.375,Dorsal_bladder
199.375,306.875,Dorsal_bladder
194.375,306.625,Dorsal_bladder
188.375,306.375,Dorsal_bladder
181.875,306.375,Dorsal_bladder
174.875,306.125,Dorsal_bladder
170.875,305.75,Dorsal_bladder
166.25,305.125,Dorsal_bladder
161.375,304.25,Dorsal_bladder
157.25,302.875,Dorsal_bladder
153.375,302.875,Dorsal_bladder
156.5,306.875,Dorsal_bladder
159,311.25,Dorsal_bladder
158.5,318.375,Dorsal_bladder
156.25,321.75,Dorsal_bladder
152.375,323.375,Dorsal_bladder
152.875,325.75,Dorsal_bladder
156,326.875,Dorsal_bladder
159.5,325.875,Dorsal_bladder
162.5,326.625,Dorsal_bladder
166,326.375,Dorsal_bladder
171.75,327.25,Dorsal_bladder
177,327.75,Dorsal_bladder
180.5,329.125,Dorsal_bladder
184.375,329.75,Dorsal_bladder
190.375,331.25,Dorsal_bladder
195.25,331.75,Dorsal_bladder
197.875,331.75,Dorsal_bladder
204.75,332.125,Dorsal_bladder
212.25,332.875,Dorsal_bladder
218.5,333.625,Dorsal_bladder
225.75,334.125,Dorsal_bladder
229.875,334.75,Dorsal_bladder
233,335.625,Dorsal_bladder
237.75,336.875,Dorsal_bladder
241.75,337.125,Dorsal_bladder
245.5,337.875,Dorsal_bladder
250.75,338.375,Dorsal_bladder
255.25,339.125,Dorsal_bladder
260,339.375,Dorsal_bladder
264.875,339.625,Dorsal_bladder
269.875,339.125,Dorsal_bladder
275,338.75,Dorsal_bladder
