"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"1",12000,1490,1026.8,65,0.342,0.342,-0.00018474105173944-0.0011541663380517i,0.0008560234234064+0.00614891635498633i,0.00503965750365829,-45.9519795461907
"2",13000,1490,1026.8,65,0.342,0.342,-0.00028563718204603+0.00108401419786598i,-0.00198169484365312-0.00441597974038481i,0.00403023434694483,-47.8933940021111
"3",14000,1490,1026.8,65,0.342,0.342,7.6229433727357e-04-8.47912991945093e-04i,0.0028506840237259+0.00262314292423497i,0.00402555014247101,-47.9034951878468
"4",15000,1490,1026.8,65,0.342,0.342,-0.00112403501744926+0.00050136198890579i,-0.00344238647944405-0.00085088753611566i,0.0045797787496168,-46.7831100475275
"5",16000,1490,1026.8,65,0.342,0.342,1.26646414443286e-03-9.010212065973e-05i,0.00375287632490705-0.00082323122892405i,0.00510176014279536,-45.8455992685391
"6",17000,1490,1026.8,65,0.342,0.342,-0.00114382552171381-0.0003472411910334i,-0.00379404644626654+0.00232816967630008i,0.00532040010111148,-45.4811141391697
"7",18000,1490,1026.8,65,0.342,0.342,7.85935650474517e-04+7.6358210405238e-04i,0.00359204816914095-0.00360266932056192i,0.0052179649814619,-45.649976796816
"8",19000,1490,1026.8,65,0.342,0.342,-0.00028349757965202-0.00109162206581497i,-0.0031850927548614+0.00459804196458979i,0.00493214957348253,-46.1392752272799
"9",20000,1490,1026.8,65,0.342,0.342,-0.00024852706944803+0.0012500405358965i,0.00262072108006555-0.00528031844453045i,0.00467658469877671,-46.6014239126611
"10",21000,1490,1026.8,65,0.342,0.342,0.00070976731610778-0.00116974971058897i,-0.00195268192832449+0.00563164921453018i,0.00463177977850121,-46.6850419530362
"11",22000,1490,1026.8,65,0.342,0.342,-0.00103720680760221+0.00082840096435241i,0.00123758323419724-0.00565088581116801i,0.00482664591720804,-46.3270911972042
"12",23000,1490,1026.8,65,0.342,0.342,0.00120485065518425-0.0002739390668462i,-0.00053149403062656+0.00535331624430358i,0.0051238151464227,-45.8081309366139
"13",24000,1490,1026.8,65,0.342,0.342,-0.00120737271645464-0.00037825043046214i,-0.00011332237994909-0.00476957235555166i,0.00531453807718674,-45.4906895400172
"14",25000,1490,1026.8,65,0.342,0.342,0.00104336206696681+0.00097705612329424i,0.00065137115527162+0.00394377088413194i,0.00520448452121567,-45.6724455754332
"15",26000,1490,1026.8,65,0.342,0.342,-0.00071201528293234-0.00138366576696335i,-0.0010464290589637-0.0029309901249153i,0.00465922546877369,-46.6337254541609
"16",27000,1490,1026.8,65,0.342,0.342,0.00022650537668954+0.00151474247398089i,0.00127345855127431+0.00179421856441085i,0.00363305862033457,-48.7945518925534
