"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"1",12000,1490,1026.8,65,0.393,0.393,0.00051181396100673-0.00151372709513816i,-0.00735507326449886-0.00211472094174777i,0.00774569771235703,-42.2187891204482
"2",13000,1490,1026.8,65,0.393,0.393,-0.00165054598886972+0.00063727607456128i,0.00695957942238425+0.00557134837320081i,0.008169017904958,-41.7566030409425
"3",14000,1490,1026.8,65,0.393,0.393,0.00153736587794149+0.0008624050707552i,-0.00475391327266853-0.00797940364308616i,0.00781011176751564,-42.1468550211275
"4",15000,1490,1026.8,65,0.393,0.393,-0.00018102702772086-0.00171741423368887i,0.00180854044750159+0.00867626583330175i,0.00714663665768738,-42.9179659462588
"5",16000,1490,1026.8,65,0.393,0.393,-0.00133620208363619+0.00117096047713748i,0.00076029481027586-0.00777613308536161i,0.00663023184903391,-43.5694256943614
"6",17000,1490,1026.8,65,0.393,0.393,0.00174889010574658+0.00034237642666161i,-0.00224129065174087+0.00596725318338797i,0.00632881379989251,-43.9735536304142
"7",18000,1490,1026.8,65,0.393,0.393,-0.00069320909705083-0.00153815359862448i,0.00253077886208556-0.00410672695413078i,0.00593644161903781,-44.5294759767598
"8",19000,1490,1026.8,65,0.393,0.393,-0.00095420330030161+0.00137858267398821i,-0.00203777497835265+0.00281701489236178i,0.00515315175001677,-45.7585413649274
"9",20000,1490,1026.8,65,0.393,0.393,1.80137511390381e-03+1.34567350767e-05i,0.00137821595474169-0.00226168280925514i,0.00389413916603221,-48.1917706405012
"10",21000,1490,1026.8,65,0.393,0.393,-0.00112922048316916-0.00142833996241846i,-0.0010285877961388+0.00217553468786055i,0.00228351407439903,-52.8279261456459
"11",22000,1490,1026.8,65,0.393,0.393,-0.000477376577415+0.00159588961658476i,0.00110702201996984-0.0020987754968506i,0.000805821066925418,-61.8752276570501
"12",23000,1490,1026.8,65,0.393,0.393,0.00161620045405379-0.00029538609320268i,-0.00137091602527156+0.00167518132292312i,0.00140142760318267,-57.0685866537626
"13",24000,1490,1026.8,65,0.393,0.393,-0.00127358489166882-0.00141572263508276i,0.00140715434558414-0.00085854390663847i,0.00227818548450557,-52.8482183916365
"14",25000,1490,1026.8,65,0.393,0.393,-0.00028332286460886+0.00207759756960124i,-8.99453317261779e-04-6.885171160077e-05i,0.00233109832877863,-52.6487881396673
"15",26000,1490,1026.8,65,0.393,0.393,0.00171089768380938-0.0010771791786542i,-1.71301588230209e-04+6.61066846429357e-04i,0.00159483717368019,-55.9456730004985
"16",27000,1490,1026.8,65,0.393,0.393,-0.00173690695669256-0.0008018867689375i,0.00149443714007327-0.00056067878590078i,0.00138397127976094,-57.1774584457176
"17",28000,1490,1026.8,65,0.393,0.393,0.00027555300306794+0.00201995695570709i,-0.00257531251668414-0.0002962677025069i,0.00287402130508214,-50.8302003354115
"18",29000,1490,1026.8,65,0.393,0.393,0.00146001134310699-0.00158488294421625i,0.00297993141749928+0.0016272984774334i,0.0044401453574087,-47.0520562423599
"19",30000,1490,1026.8,65,0.393,0.393,-1.96967706388464e-03-9.25665717987e-05i,-0.00255185205221552-0.00292720596589903i,0.00543720992119808,-45.2924779864325
"20",31000,1490,1026.8,65,0.393,0.393,0.00075396517303142+0.00153618589170506i,0.00149237497551477+0.00370397833940427i,0.00570134766804903,-44.8804494984178
"21",32000,1490,1026.8,65,0.393,0.393,0.00122791776812321-0.00146378511885551i,-0.00026561362038188-0.00370827560946372i,0.00526082136649614,-45.5789288922534
"22",33000,1490,1026.8,65,0.393,0.393,-0.00234159174858285-0.000101602173433i,-0.00062258230479833+0.00304351953709794i,0.00417626694469732,-47.5842349850595
"23",34000,1490,1026.8,65,0.393,0.393,0.00165391040193879+0.00182841237229368i,0.00086191718891006-0.00210462400364614i,0.00253094475091234,-51.9343467028072
"24",35000,1490,1026.8,65,0.393,0.393,0.00026638832180405-0.00220160498276318i,-0.00047552179357798+0.00137819463356408i,0.0008495536546825,-61.4161837497494
"25",36000,1490,1026.8,65,0.393,0.393,-0.00181581587922844+0.00082586532058759i,-0.00020647214581418-0.00120378825078932i,0.00205729788737631,-53.7340563977326
"26",37000,1490,1026.8,65,0.393,0.393,0.00170606236104895+0.00120993796308904i,0.00072147203541773+0.00161266564411659i,0.00372290402366742,-48.5823631946701
"27",38000,1490,1026.8,65,0.393,0.393,-5.246636210058e-05-2.232680936809e-03i,-0.00070953433422783-0.00232055377670067i,0.00461655622921615,-46.7136374081125
"28",39000,1490,1026.8,65,0.393,0.393,-0.00172900469045244+0.00139453226208882i,9.403715846856e-05+2.87497700249103e-03i,0.00457185172451761,-46.7981572639955
"29",40000,1490,1026.8,65,0.393,0.393,0.00213280826199795+0.00060689952670414i,0.00087853941473858-0.00288321571587027i,0.00377489473008802,-48.4619030993944
"30",41000,1490,1026.8,65,0.393,0.393,-0.00084988537615024-0.00211683634292293i,-0.00175675392768828+0.00220966513100093i,0.00260829170995343,-51.6728767792129
