"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"1",12000,1490,1026.8,65,0.422,0.422,-0.00062451264616234-0.00176337981219251i,-0.0109737980800263+0.0082105004827i,0.0132697466683169,-37.5427473627599
"2",13000,1490,1026.8,65,0.422,0.422,-0.00087339850225604+0.00194781236530972i,0.0134956501708086-0.0062398995748677i,0.013332038471244,-37.5020688359864
"3",14000,1490,1026.8,65,0.422,0.422,0.0018915826887616-0.00075961550289006i,-0.0144057093327244+0.0033029462022525i,0.0127699607167548,-37.876208774423
"4",15000,1490,1026.8,65,0.422,0.422,-0.00160380726857454-0.00096708967266412i,0.0135750456659492-0.0003517221654545i,0.0120436627913247,-38.3848282546786
"5",16000,1490,1026.8,65,0.422,0.422,0.00015471903681467+0.00198038578893054i,-0.0113658456288283-0.0017928130910441i,0.0112126956160928,-39.0057993440654
"6",17000,1490,1026.8,65,0.422,0.422,0.00140007002535857-0.00155285457639083i,0.00846509840084579+0.00265827865046812i,0.00992690840397599,-40.0637197071288
"7",18000,1490,1026.8,65,0.422,0.422,-1.87269258320185e-03+4.210021403151e-05i,-0.00564226885388483-0.00220943653004379i,0.0078212525919833,-42.1344737617617
"8",19000,1490,1026.8,65,0.422,0.422,0.00085991476316983+0.00137285802761294i,0.00351273513162718+0.00079500002194723i,0.00488054050546772,-46.2306415700143
"9",20000,1490,1026.8,65,0.422,0.422,0.00091194853278075-0.00159310961254209i,-0.00237904022339343+0.00101493239590774i,0.00157691056261914,-56.0438587556472
"10",21000,1490,1026.8,65,0.422,0.422,-0.00210300329595771+0.00045364497360254i,0.00219030463168008-0.00263730284475656i,0.00218540230197367,-53.2093720759791
"11",22000,1490,1026.8,65,0.422,0.422,0.00176613509291736+0.00113457409937935i,-0.00261831360706703+0.00365881804396242i,0.00486855383659552,-46.252000463828
"12",23000,1490,1026.8,65,0.422,0.422,-8.225460946418e-05-1.88005338402814e-03i,0.00321121363180685-0.00393729996999007i,0.00660545112834896,-43.6019503259791
"13",24000,1490,1026.8,65,0.422,0.422,-0.00174889363672838+0.0011211019281726i,-0.00356445793978245+0.00359872186056764i,0.00710692912391621,-42.9663603134832
"14",25000,1490,1026.8,65,0.422,0.422,0.00239943854981414+0.00062906299104995i,0.00344942914615154-0.00294433773155511i,0.00629044914524648,-44.0263668865218
"15",26000,1490,1026.8,65,0.422,0.422,-0.00141969001778901-0.00204038787422643i,-0.00286102347646805+0.00231134016932582i,0.00428928002887829,-47.352311991858
"16",27000,1490,1026.8,65,0.422,0.422,-0.00040924288348989+0.00197489312922219i,0.00197771669505267-0.00194194677922297i,0.00156881979829952,-56.0885387713289
"17",28000,1490,1026.8,65,0.422,0.422,0.00165913087093088-0.00038240317461466i,-0.00105924102238965+0.00190712464929304i,0.00163848814634963,-55.7111339235151
"18",29000,1490,1026.8,65,0.422,0.422,-0.00134338322170176-0.0016140718168074i,0.00032698902764926-0.00210687166650281i,0.00385726296273567,-48.2744150558545
"19",30000,1490,1026.8,65,0.422,0.422,-0.00031626195117077+0.00253361894621256i,0.00012560000383258+0.00233880610649903i,0.0048761540041773,-46.2384517292101
"20",31000,1490,1026.8,65,0.422,0.422,0.00203981572610261-0.00165278344230428i,-0.00036065898726933-0.00240197141964315i,0.00438869050447346,-47.1533009004789
"21",32000,1490,1026.8,65,0.422,0.422,-0.00245709941545713-0.00042456986047311i,0.00055549462825803+0.00219188734479177i,0.0025960569826329,-51.7137155827998
"22",33000,1490,1026.8,65,0.422,0.422,0.00116516569784228+0.00219019645199385i,-0.00091474717133667-0.00174911663103439i,0.000507208878939303,-65.8962630504526
"23",34000,1490,1026.8,65,0.422,0.422,0.00093509342155912-0.00234598012125066i,0.0015730478937387+0.00124374734921935i,0.00273965142695996,-51.2460938018249
"24",35000,1490,1026.8,65,0.422,0.422,-0.00229493666106458+0.00077679013573218i,-0.00252823210669613-0.00090406828462497i,0.00482484784107104,-46.3303275648502
"25",36000,1490,1026.8,65,0.422,0.422,0.00188261951589429+0.00135664015691501i,0.00363188025732403+0.00091942282691705i,0.00596574978147721,-44.4866993198566
"26",37000,1490,1026.8,65,0.422,0.422,2.387427744864e-05-2.48436831097085e-03i,-0.00464080876152513-0.00135675710009966i,0.00600585784495656,-44.428499030092
"27",38000,1490,1026.8,65,0.422,0.422,-0.00202665200797699+0.00180530755311196i,0.00530913175091472+0.00212449781810106i,0.00512035579998218,-45.8139972000141
"28",39000,1490,1026.8,65,0.422,0.422,0.0026497699890464+0.00011382489294542i,-0.00548474651257097-0.00299869196388733i,0.00404469404355143,-47.8622864907884
"29",40000,1490,1026.8,65,0.422,0.422,-0.00145122294582557-0.00177592505661774i,0.00517236122715773+0.00370211776178027i,0.00419011795134899,-47.5554750304164
"30",41000,1490,1026.8,65,0.422,0.422,-0.00063983650343614+0.00189890398800904i,-0.00453794101945009-0.00400655506276107i,0.0055903106469506,-45.0512811642467
"31",42000,1490,1026.8,65,0.422,0.422,0.00202471109858873-0.00039861944619252i,0.00385174434133737+0.00381927966607242i,0.00679953269550974,-43.3504186715671
"32",43000,1490,1026.8,65,0.422,0.422,-0.00165076021450545-0.00154344291642531i,-0.00339051040302495-0.00322047544703312i,0.00693608878351999,-43.1777071285549
"33",44000,1490,1026.8,65,0.422,0.422,-0.00018108072857878+0.00238654541050151i,0.00333506678153139+0.00243647475463633i,0.00576273819772734,-44.7874222009983
"34",45000,1490,1026.8,65,0.422,0.422,0.00203698959616649-0.0014242632944954i,-0.00370179484841116-0.00175771575965936i,0.00359117908617505,-48.8952587356947
"35",46000,1490,1026.8,65,0.422,0.422,-0.00244097057601728-0.00064944861040126i,0.00433420588165451+0.00143111768820698i,0.00204825449339406,-53.7723216745284
"36",47000,1490,1026.8,65,0.422,0.422,0.00101144234815537+0.00224648665451975i,-0.00495883779862326-0.00156649230897853i,0.00400553656235249,-47.9467859937888
"37",48000,1490,1026.8,65,0.422,0.422,0.0012248218205364-0.00209165748116252i,0.00528590267104418+0.00209193472145546i,0.00651072449748331,-43.7274136303196
