fish_id,type,mode,ramping,resolution,orientation,fish_length,length_4,width,length_1,length_2,length_3,length_PVA,SNR,KRM
M07,MAC,FM,fast,standardres,ventral,30,NaN,3.7,30,NaN,26.7,NaN,-360.7462149,0
M07,MAC,FM,slow,standardres,ventral,30,NaN,3.7,30,NaN,26.7,NaN,15.05596373,0
M10,MAC,FM,fast,standardres,ventral,35.6,NaN,4.6,35.6,32.3,31.1,NaN,15.18249445,0
M10,MAC,FM,slow,standardres,ventral,35.6,NaN,4.6,35.6,32.3,31.1,NaN,15.42156507,0
M11,MAC,FM,fast,standardres,ventral,27.3,NaN,3.4,27.3,24.7,24.1,NaN,15.58922444,0
M11,MAC,FM,slow,standardres,ventral,27.3,NaN,3.4,27.3,24.7,24.1,NaN,17.60642975,0
M12,MAC,FM,fast,standardres,ventral,37.5,NaN,4.8,37.5,34.2,33.1,NaN,15.22141476,0
M12,MAC,FM,slow,standardres,ventral,37.5,NaN,4.8,37.5,34.2,33.1,NaN,NaN,0
M14,MAC,FM,fast,standardres,ventral,28.1,NaN,3.2,28.1,25.1,24.3,NaN,15.55101956,0
M14,MAC,FM,slow,standardres,ventral,28.1,NaN,3.2,28.1,25.1,24.3,NaN,15.79331542,0
M15,MAC,FM,fast,standardres,ventral,46.5,NaN,6.6,46.5,42.1,40.8,NaN,15.76246799,0
M15,MAC,FM,slow,standardres,ventral,46.5,NaN,6.6,46.5,42.1,40.8,NaN,15.81790413,0
M17,MAC,FM,fast,standardres,ventral,43.6,NaN,6,43.6,39.4,37.9,NaN,15.77990364,0
M17,MAC,FM,slow,standardres,ventral,43.6,NaN,6,43.6,39.4,37.9,NaN,15.62082471,0
M18,MAC,FM,fast,standardres,ventral,37.8,NaN,4.7,37.8,34.3,33.2,NaN,15.56322942,0
M18,MAC,FM,slow,standardres,ventral,37.8,NaN,4.7,37.8,34.3,33.2,NaN,15.67818075,0
M19,MAC,FM,fast,standardres,ventral,29.1,NaN,3.4,29.1,26.6,25.7,NaN,16.70629216,0
M19,MAC,FM,slow,standardres,ventral,29.1,NaN,3.4,29.1,26.6,25.7,NaN,16.25965645,0
